max_depth,n_estimators,r2
1,100,0.04357881911026196
2,100,0.087377142858167
3,100,0.14331341154249289
4,100,0.18524171636512543
5,100,0.22057396316344557
6,100,0.2660041259326148
7,100,0.3014132839307718
8,100,0.3334904516194108
9,100,0.3607633092870586
10,100,0.38440507183487005
11,100,0.4054143945063414
12,100,0.42379739603044786
13,100,0.4408378357381868
14,100,0.4573701492606189
15,100,0.4740500262596802
16,100,0.48954804875456526
17,100,0.504761293948772
18,100,0.5198944655371315
19,100,0.534119473776757
20,100,0.5458551386304771
