max_depth,n_estimators,mean_r2,std_r2
10,10,0.3737276357131581,0.0060752917570473216
10,35,0.37903907368686063,0.002740576114930485
10,60,0.37951102175981744,0.003500199891931785
10,85,0.3796151081800381,0.003316517116590684
10,110,0.3790511587155985,0.0030336171810979654
10,135,0.3795142137740088,0.003301041314365519
10,160,0.3799388107861345,0.003052496388565509
10,185,0.38011145957972836,0.0030863973560436506
10,210,0.38004639517737954,0.003134038703911484
10,235,0.38025528169945627,0.0031063133334617477
10,250,0.38024485767216976,0.0030369805796937894
